ingresos_mensuales,minutos_mensuales,cargo_recurrente,llamadas_asistidas_director,minutos_excedentes,llamadas_roaming,cambio_perc_minutos,cambio_perc_ingresos,llamadas_caidas,llamadas_bloqueadas,llamadas_no_contestadas,llamadas_atencion_cliente,llamadas_tripartitas,llamadas_recibidas,llamadas_salientes,llamadas_entrantes,llamadas_pico_ent_sal,llamadas_no_pico_ent_sal,llamadas_caidas_bloqueadas,llamadas_desviadas,llamadas_en_espera,meses_en_servicio,suscripciones_unicas,suscripciones_activas,equipos_totales,modelos_equipos,dias_equipo_actual,edad_hogar_1,edad_hogar_2,llamadas_retencion,ofertas_retencion_aceptadas,referidos_realizados,grupo_ingresos,ajustes_calificacion_credito,ingreso_diario,ratio_uso,costo_por_minuto,ocupacion,calificacion_crediticia,estado_civil,area_servicio,churn_bin
25.23,2,25.0,0.0,0,0,-2.0,-0.2,0.0,0.0,0.30000000000000004,0,0.0,1.1,0.30000000000000004,0.0,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,53,2,2,2,2.0,354,0.0,0.0,0,0,0,7,0,0.841,0.0,12.615,Other,1-Highest,,SANMCA210,0
212.51,1972,85.0,2.23,250,36,-200.0,-106.8,9.0,0.0,43.7,0,0.0,718.1,49.3,4.7,351.7,128.7,9.0,0.0,1.0,59,5,1,10,6.0,199,30.0,22.0,0,0,0,3,1,7.083666666666667,0.11251125112511251,0.10776369168356997,Other,4-Medium,No,SLCSLC801,0
42.56,270,37.0,0.25,6,0,202.0,-1.8,3.3,1.7000000000000002,7.7,1,0.0,57.1,11.0,3.7,62.3,18.0,5.0,0.0,0.30000000000000004,55,2,2,5,4.0,697,58.0,58.0,0,0,0,1,1,1.4186666666666667,0.021739130434782608,0.15762962962962965,Other,3-Good,,OKCOKC405,0
63.02,440,60.0,0.0,6,1,-16.0,0.2,5.0,0.0,17.3,4,0.30000000000000004,93.9,0.0,0.0,141.3,14.3,5.0,0.0,1.7000000000000002,57,1,1,3,2.0,530,99.0,0.0,0,0,0,3,0,2.1006666666666667,0.013452914798206279,0.14322727272727273,Other,3-Good,,SLCSLC801,0
50.97,162,70.0,0.0,2,0,-58.0,-1.0,1.7000000000000002,0.30000000000000004,9.0,0,0.0,38.4,34.3,5.7,19.3,42.3,2.0,0.0,0.0,56,1,1,4,3.0,253,30.0,30.0,0,0,0,1,0,1.699,0.012195121951219513,0.31462962962962965,Other,3-Good,No,MILMIL414,0
172.44,1978,100.0,0.0,362,0,-1007.0,-72.5,7.3,18.0,114.3,0,0.7000000000000001,515.2,22.7,2.7,718.0,60.3,25.3,0.0,20.3,58,2,1,4,3.0,143,48.0,32.0,1,0,0,6,0,5.748,0.1547008547008547,0.08717896865520727,Professional,1-Highest,,LOULOU502,1
29.99,47,30.0,0.0,0,0,14.0,0.0,0.30000000000000004,0.0,2.3,0,0.0,1.0,10.0,1.7000000000000002,22.0,3.3,0.30000000000000004,0.0,0.0,54,3,3,3,3.0,573,52.0,50.0,0,0,0,9,0,0.9996666666666666,0.0,0.6380851063829787,Other,1-Highest,,SLCSLC801,0
30.26,34,30.0,0.0,0,0,32.0,-0.30000000000000004,0.0,0.0,0.7000000000000001,0,0.0,0.5,0.30000000000000004,0.0,14.3,0.0,0.0,0.0,0.0,52,1,1,2,2.0,319,0.0,0.0,0,0,0,0,0,1.0086666666666668,0.0,0.89,Other,3-Good,,SANMCA210,0
24.49,42,17.0,0.0,10,0,81.0,29.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.7000000000000001,0.0,0.0,0.0,58,2,1,3,3.0,776,36.0,0.0,0,0,0,9,0,0.8163333333333332,0.19230769230769232,0.5830952380952381,Other,1-Highest,No,KCYKCK913,1
30.0,94,30.0,0.0,0,0,-54.0,0.0,2.0,1.7000000000000002,5.3,0,0.0,19.5,1.0,0.0,26.3,19.3,3.7,0.0,0.0,54,1,1,2,2.0,1395,42.0,40.0,0,0,0,3,0,1.0,0.0,0.3191489361702128,Other,4-Medium,,SANMCA210,0
35.55,139,35.0,0.25,0,0,-11.0,-0.6000000000000001,0.0,0.7000000000000001,3.3,0,0.0,72.5,3.7,0.30000000000000004,27.3,15.3,0.7000000000000001,0.0,0.30000000000000004,52,1,1,4,3.0,628,40.0,0.0,0,0,0,5,0,1.1849999999999998,0.0,0.25575539568345323,Professional,1-Highest,Yes,OKCOKC405,0
21.15,46,17.0,0.0,14,0,-16.0,-4.2,1.3,3.0,7.3,0,0.0,2.3,0.0,0.30000000000000004,7.0,14.0,4.3,0.0,0.0,58,1,1,2,2.0,138,74.0,74.0,0,0,0,7,1,0.705,0.23333333333333334,0.45978260869565213,Professional,1-Highest,Yes,KCYNEW316,0
28.5,66,30.0,0.0,0,0,41.0,0.0,0.30000000000000004,0.0,1.3,0,0.0,26.0,4.3,0.0,31.7,6.3,0.30000000000000004,0.0,0.30000000000000004,56,2,1,2,2.0,917,48.0,54.0,0,0,0,9,0,0.95,0.0,0.4318181818181818,Other,1-Highest,Yes,SLCSLC801,0
99.91,1194,75.0,0.5,97,0,-14.0,-0.2,11.0,5.0,53.3,3,0.0,288.0,91.3,12.3,370.0,65.7,16.0,0.0,11.7,54,1,1,4,3.0,258,28.0,0.0,0,0,0,7,3,3.3303333333333334,0.07513555383423702,0.08367671691792294,Other,1-Highest,,KCYKCM816,0
30.0,156,30.0,0.0,0,0,94.0,0.0,2.0,2.0,3.0,0,0.0,13.9,5.0,4.0,61.7,14.7,4.0,0.0,0.0,56,2,2,5,3.0,630,36.0,38.0,0,0,0,9,0,1.0,0.0,0.19230769230769232,Other,1-Highest,Yes,KCYKCM816,0
33.48,196,30.0,0.0,0,3,54.0,8.6,6.7,0.30000000000000004,6.3,0,0.7000000000000001,74.1,9.7,5.7,38.0,19.3,7.0,0.0,0.0,54,2,1,4,3.0,179,50.0,48.0,0,0,0,9,1,1.1159999999999999,0.0,0.17081632653061224,Professional,1-Highest,Yes,DENDEN303,1
82.16,660,50.0,0.0,101,2,-184.0,-31.6,3.0,2.0,10.3,0,0.30000000000000004,377.5,67.7,1.3,162.0,32.3,5.0,0.0,2.7,57,3,3,3,3.0,107,46.0,48.0,0,0,0,8,0,2.7386666666666666,0.13272010512483573,0.12448484848484848,Other,1-Highest,Yes,DENDEN303,0
30.0,56,30.0,0.0,0,0,-47.0,0.0,1.0,0.7000000000000001,4.0,0,0.0,13.5,4.0,3.3,29.3,6.0,1.7000000000000002,0.0,0.0,53,2,2,4,3.0,616,74.0,74.0,0,0,0,9,1,1.0,0.0,0.5357142857142857,Other,1-Highest,Yes,KCYKCK913,0
16.14,4,17.0,0.0,0,0,-4.0,0.0,0.0,1.0,1.7000000000000002,0,0.0,0.2,0.0,0.0,3.0,0.7000000000000001,1.0,0.0,0.0,55,1,1,1,1.0,1661,64.0,64.0,0,0,0,6,0,0.538,0.0,4.035,Professional,1-Highest,Yes,OKCOKC405,1
57.98,684,55.0,0.0,3,0,-2.0,0.6000000000000001,15.7,1.3,23.7,5,0.0,203.7,19.3,0.30000000000000004,131.3,54.3,17.0,0.0,0.7000000000000001,55,2,1,2,2.0,864,50.0,0.0,0,0,0,9,1,1.9326666666666665,0.004366812227074236,0.08476608187134503,Professional,3-Good,No,PHICTR610,1
78.29,852,85.0,0.0,0,0,-206.0,0.0,10.7,6.3,47.0,1,0.0,304.8,54.7,29.7,200.7,74.0,17.0,0.0,6.0,53,5,4,8,3.0,151,50.0,50.0,0,0,0,5,0,2.609666666666667,0.0,0.09188967136150235,Crafts,1-Highest,Yes,SANMCA210,1
107.23,782,25.0,0.0,233,0,-258.0,-80.0,1.0,0.7000000000000001,3.0,0,0.0,786.7,1.3,0.0,64.3,119.3,1.7000000000000002,0.0,2.7,55,1,1,5,4.0,162,36.0,38.0,0,0,0,7,0,3.5743333333333336,0.22955665024630542,0.1371227621483376,Other,3-Good,Yes,DENDEN303,1
30.26,24,30.0,0.0,0,0,25.0,-0.30000000000000004,0.0,0.0,2.0,1,0.0,0.1,3.7,0.0,4.0,5.3,0.0,0.0,0.0,51,1,1,3,2.0,985,72.0,68.0,0,0,0,3,1,1.0086666666666668,0.0,1.2608333333333335,Retired,1-Highest,Yes,OKCLRK501,1
145.79,1293,68.0,0.0,265,0,447.0,22.4,6.7,19.3,39.3,3,0.0,208.1,92.0,6.3,345.3,86.0,26.0,0.0,3.0,55,2,2,4,4.0,20,64.0,60.0,0,0,0,9,1,4.859666666666667,0.17008985879332478,0.11275328692962103,Other,1-Highest,Yes,OMADES515,0
50.56,100,50.0,0.0,0,0,6.0,0.0,0.30000000000000004,24.3,18.7,0,0.0,7.8,1.0,0.0,19.3,10.0,24.7,0.0,0.0,53,1,1,4,3.0,977,0.0,0.0,0,0,0,0,0,1.6853333333333333,0.0,0.5056,Other,3-Good,,SANAUS512,1
51.24,404,50.0,0.0,0,0,50.0,-1.2,5.3,2.3,12.3,2,0.0,73.8,19.7,0.0,130.3,8.3,7.7,0.0,1.0,55,1,1,3,3.0,528,44.0,0.0,0,0,0,6,1,1.708,0.0,0.12683168316831683,Self,1-Highest,No,KCYWIC316,1
20.18,1,20.0,0.0,0,0,0.0,-0.2,0.0,0.0,0.0,0,0.0,0.30000000000000004,0.0,0.0,0.7000000000000001,0.30000000000000004,0.0,0.0,0.0,50,1,1,1,1.0,1536,46.0,0.0,0,0,0,7,0,0.6726666666666666,0.0,20.18,Other,1-Highest,No,INDIND317,0
36.84,36,45.0,0.0,0,2,0.0,0.5,0.30000000000000004,0.0,2.0,0,0.0,1.2,1.7000000000000002,0.30000000000000004,5.0,2.3,0.30000000000000004,0.0,0.0,55,3,2,2,2.0,1023,40.0,34.0,0,0,0,7,0,1.2280000000000002,0.0,1.0233333333333334,Professional,1-Highest,Yes,SLCPRO801,1
37.99,71,38.0,0.0,0,0,146.0,0.0,0.0,0.7000000000000001,2.7,0,0.0,2.4,1.0,0.0,8.3,2.7,0.7000000000000001,0.0,0.0,53,1,1,1,1.0,1597,76.0,68.0,0,0,0,7,0,1.2663333333333333,0.0,0.5350704225352113,Other,1-Highest,Yes,OMALNC402,0
91.17,333,75.0,0.0,0,0,-31.0,-5.4,3.3,2.0,33.7,0,0.0,33.2,9.0,4.7,201.3,23.3,5.3,0.0,0.7000000000000001,50,2,2,3,3.0,122,30.0,0.0,0,0,0,6,0,3.039,0.0,0.27378378378378376,Other,3-Good,No,KCYKCK913,0
29.73,65,30.0,0.99,2,0,76.0,-0.30000000000000004,0.0,5.0,2.7,0,0.0,7.8,1.0,0.0,27.3,1.0,5.0,0.0,0.30000000000000004,50,2,1,8,5.0,530,40.0,34.0,0,0,0,6,2,0.991,0.029850746268656716,0.4573846153846154,Self,3-Good,Yes,SANAUS512,0
149.99,2382,150.0,0.0,0,0,-230.0,0.0,4.0,22.0,161.0,10,1.3,391.2,145.0,102.7,533.7,232.3,26.0,0.0,18.0,56,3,3,18,9.0,307,50.0,40.0,0,0,0,6,2,4.999666666666667,0.0,0.06296809403862301,Other,3-Good,No,SANMCA210,1
84.91,745,85.0,0.5,0,0,367.0,-8.9,3.0,12.3,51.7,3,0.0,181.1,13.3,14.0,212.3,88.3,15.3,0.0,2.0,50,1,1,4,2.0,86,48.0,22.0,0,0,0,3,1,2.8303333333333334,0.0,0.1139731543624161,Other,4-Medium,No,SANMCA210,0
17.43,20,17.0,0.0,1,0,15.0,1.3,0.30000000000000004,2.3,5.3,1,0.0,3.7,0.0,0.0,5.3,1.0,2.7,0.0,0.0,56,1,1,1,1.0,1695,44.0,0.0,0,0,0,4,0,0.581,0.047619047619047616,0.8714999999999999,Other,4-Medium,No,NSHNSH615,0
107.25,1671,75.0,0.0,126,0,-641.0,-29.7,6.7,11.3,33.7,0,0.0,633.4,42.0,45.0,329.0,130.7,18.0,0.0,14.7,54,1,1,4,3.0,492,0.0,0.0,0,0,0,0,2,3.575,0.07011686143572621,0.06418312387791741,Other,4-Medium,,OMAOMA402,0
163.54,1438,83.0,2.48,0,0,-186.0,93.9,15.0,0.7000000000000001,88.0,0,2.0,426.9,58.0,29.0,514.0,124.3,15.7,0.0,30.0,50,2,1,7,4.0,100,50.0,0.0,0,0,0,7,1,5.451333333333333,0.0,0.11372739916550764,Other,4-Medium,,PHXTUC520,0
66.28,1230,60.0,2.9699999999999998,53,0,217.0,-8.6,4.0,1.3,40.3,10,0.0,258.3,103.7,26.0,215.7,155.3,5.3,0.0,4.3,52,1,1,7,3.0,659,30.0,0.0,0,0,0,7,3,2.2093333333333334,0.041309431021044424,0.05388617886178862,Other,1-Highest,No,SANAUS512,0
21.12,18,19.0,0.0,9,0,10.0,12.1,0.0,0.0,0.0,0,0.0,8.5,1.0,0.30000000000000004,11.3,3.3,0.0,0.0,0.0,54,1,1,2,2.0,839,54.0,54.0,0,0,0,7,0,0.7040000000000001,0.3333333333333333,1.1733333333333333,Professional,1-Highest,Yes,DALDAL214,0
136.42,560,71.0,0.5,163,0,79.0,64.6,7.0,1.0,21.3,0,0.0,246.1,36.3,28.3,138.3,52.3,8.0,0.0,2.3,56,3,2,6,5.0,374,0.0,0.0,0,0,0,0,1,4.547333333333333,0.22544951590594745,0.24360714285714283,Other,4-Medium,,DALDTN940,1
76.74,1008,60.0,0.5,65,7,-52.0,5.4,2.0,8.7,82.0,0,0.0,244.1,105.0,41.0,225.3,197.0,10.7,0.0,8.7,52,3,3,7,5.0,163,54.0,46.0,0,0,0,7,1,2.558,0.06057781919850885,0.07613095238095238,Other,1-Highest,Yes,OMALNC402,0
196.76,3479,85.0,4.95,872,0,-394.0,-36.3,7.0,25.0,149.7,1,0.0,1005.4,67.3,196.0,1177.3,175.3,32.0,0.0,38.3,54,3,2,7,3.0,47,38.0,60.0,0,0,0,7,0,6.558666666666666,0.20041369800045966,0.056556481747628624,Other,1-Highest,,OKCLRK501,0
79.44,831,75.0,4.46,0,0,119.0,1.5,2.0,2.0,10.0,0,0.0,282.6,37.3,13.0,155.0,32.3,4.0,0.0,2.3,56,1,1,8,6.0,49,30.0,30.0,0,0,0,8,0,2.648,0.0,0.0955956678700361,Other,4-Medium,No,DALFTW817,0
56.31,1010,60.0,0.0,10,0,14.0,-3.1,4.0,2.3,31.3,1,0.0,151.1,17.0,19.0,76.7,81.0,6.3,0.0,0.30000000000000004,52,1,1,10,5.0,4,42.0,0.0,0,0,0,1,5,1.877,0.00980392156862745,0.05575247524752475,Crafts,3-Good,No,OMALNC402,0
79.59,828,75.0,0.0,0,2,299.0,-1.1,10.3,4.0,32.7,0,0.30000000000000004,176.5,36.0,14.3,250.0,21.7,14.3,0.0,6.3,50,1,1,5,4.0,350,52.0,52.0,0,0,0,2,0,2.653,0.0,0.0961231884057971,Professional,1-Highest,No,KCYKCM816,0
35.3,148,45.0,0.0,0,0,-86.0,-0.30000000000000004,1.7000000000000002,3.0,11.3,0,0.0,38.5,7.3,3.3,46.0,20.7,4.7,0.0,0.0,50,1,1,3,2.0,331,50.0,50.0,1,1,0,6,3,1.1766666666666665,0.0,0.2385135135135135,Other,4-Medium,,KCYKCK913,0
75.73,493,85.0,0.74,0,0,-196.0,-0.7000000000000001,2.7,1.7000000000000002,12.0,0,0.0,1.8,1.0,0.0,61.0,25.7,4.3,0.0,0.30000000000000004,52,1,1,5,5.0,158,48.0,38.0,0,0,0,9,0,2.5243333333333333,0.0,0.1536105476673428,Other,1-Highest,Yes,INDIND317,0
49.99,820,60.0,0.0,2,0,26.0,0.0,1.7000000000000002,11.0,33.3,7,0.0,139.0,17.7,1.7000000000000002,100.3,46.7,12.7,0.0,4.0,56,1,1,3,3.0,451,48.0,44.0,0,0,0,7,0,1.6663333333333334,0.0024330900243309003,0.06096341463414635,Professional,1-Highest,Yes,NSHNSH615,0
23.5,34,15.0,0.0,30,0,19.0,4.0,0.0,0.30000000000000004,0.7000000000000001,0,0.0,0.0,15.7,0.0,18.3,3.7,0.30000000000000004,0.0,0.0,52,1,1,1,1.0,1583,68.0,68.0,0,0,0,6,0,0.7833333333333333,0.46875,0.6911764705882353,Other,1-Highest,Yes,DALFTW817,0
29.99,148,30.0,0.0,0,0,20.0,0.0,6.0,1.3,11.0,1,1.0,7.2,6.0,0.0,65.7,7.0,7.3,0.0,0.0,54,1,1,4,4.0,527,56.0,0.0,0,0,0,1,0,0.9996666666666666,0.0,0.20263513513513512,Other,4-Medium,No,DENDEN303,0
103.28,1376,85.0,0.74,38,8,355.0,52.9,5.7,7.3,52.7,3,0.0,188.1,30.0,5.3,211.3,124.7,13.0,0.0,2.3,56,2,1,2,2.0,652,48.0,0.0,0,0,0,4,0,3.4426666666666668,0.026874115983026876,0.07505813953488372,Other,1-Highest,Yes,SANSAN210,0
71.86,538,75.0,0.5,0,0,58.0,-0.6000000000000001,6.0,3.3,13.3,0,0.0,99.7,31.3,7.0,113.3,21.0,9.3,0.0,3.7,54,3,2,4,3.0,161,40.0,40.0,0,0,0,7,0,2.3953333333333333,0.0,0.13356877323420074,Homemaker,1-Highest,Yes,SANSAN210,0
114.13,1650,83.0,1.73,52,0,-177.0,17.9,3.7,5.3,23.0,0,0.0,362.5,90.0,34.0,412.0,56.7,9.3,0.0,21.3,50,6,4,4,4.0,306,40.0,34.0,0,0,0,4,0,3.804333333333333,0.03055229142185664,0.06916969696969696,Clerical,1-Highest,No,SANSAN210,0
90.25,952,50.0,0.0,161,0,308.0,51.2,11.7,1.3,47.3,0,0.0,464.2,8.3,7.3,300.0,95.0,13.0,0.0,10.3,54,1,1,2,1.0,1475,,,0,0,0,0,0,3.0083333333333333,0.14465408805031446,0.09480042016806722,Other,6-Verylow,,SLCSLC801,1
53.79,1020,58.0,0.99,162,0,110.0,-50.8,1.0,4.3,25.0,0,0.0,240.4,50.3,31.0,239.3,110.0,5.3,0.0,15.0,54,1,1,7,7.0,163,0.0,0.0,0,0,0,6,1,1.793,0.13705583756345177,0.05273529411764706,Other,1-Highest,No,SANSAN210,1
45.85,70,50.0,0.0,0,0,-14.0,16.4,0.7000000000000001,0.0,7.3,0,0.0,1.1,11.3,0.7000000000000001,26.0,11.3,0.7000000000000001,0.0,0.0,52,2,2,4,4.0,11,46.0,44.0,0,0,0,6,0,1.5283333333333333,0.0,0.655,Professional,1-Highest,No,NYCMAN917,0
95.17,161,89.0,0.0,0,0,78.0,34.0,0.7000000000000001,0.7000000000000001,1.3,0,0.0,31.6,14.0,0.0,38.0,22.7,1.3,0.0,0.0,56,4,4,2,2.0,1116,0.0,0.0,0,0,0,0,0,3.1723333333333334,0.0,0.5911180124223603,Other,1-Highest,,DALDAL214,0
90.61,1151,95.0,0.25,22,0,225.0,-5.6,3.0,0.30000000000000004,20.7,1,0.0,476.0,19.3,15.0,70.0,52.3,3.3,0.0,1.7000000000000002,54,4,2,2,1.0,1599,0.0,0.0,0,0,0,0,0,3.0203333333333333,0.01875532821824382,0.0787228496959166,Other,1-Highest,,PHXTUC520,1
226.0,2338,78.0,0.0,370,2,-366.0,-95.4,13.7,12.0,48.0,0,0.0,609.7,32.0,48.7,286.3,98.0,25.7,0.0,8.3,54,1,1,5,4.0,240,0.0,0.0,0,0,0,0,0,7.533333333333333,0.13663220088626293,0.09666381522668947,Other,4-Medium,,SANSAN210,0
105.84,784,80.0,0.25,0,18,-30.0,18.4,1.7000000000000002,2.3,18.0,0,0.0,479.1,16.3,2.7,197.3,38.7,4.0,0.0,1.3,54,2,2,24,5.0,452,62.0,62.0,0,0,0,6,0,3.528,0.0,0.135,Other,1-Highest,Yes,OKCTUL918,0
113.52,1807,85.0,1.98,102,1,-373.0,-16.4,4.3,19.0,69.7,0,0.0,658.3,37.0,48.3,517.7,72.7,23.3,0.0,6.0,52,2,1,9,4.0,387,48.0,0.0,0,0,0,7,0,3.784,0.0534311157674175,0.06282235749861649,Other,1-Highest,Yes,SANMCA210,0
51.46,368,45.0,1.98,39,1,-174.0,-13.7,4.3,1.3,26.7,0,0.0,81.9,26.3,1.7000000000000002,69.0,26.3,5.7,0.0,2.3,56,1,1,3,2.0,701,48.0,0.0,0,0,0,6,0,1.7153333333333334,0.09582309582309582,0.13983695652173914,Professional,1-Highest,Yes,DALFTW817,1
35.58,291,45.0,0.5,0,0,-18.0,0.4,4.7,5.0,42.0,0,0.0,76.3,5.0,2.3,46.3,63.3,9.7,0.0,1.7000000000000002,52,1,1,3,2.0,135,42.0,34.0,0,0,0,5,0,1.186,0.0,0.12226804123711339,Other,3-Good,,MILMIL414,0
114.54,1172,83.0,0.99,0,9,184.0,-27.8,4.7,10.3,39.0,0,0.0,353.5,91.7,86.7,442.0,32.3,15.0,0.0,11.0,54,1,1,4,4.0,773,44.0,44.0,0,0,0,7,1,3.818,0.0,0.09773037542662116,Other,1-Highest,Yes,SANMCA210,0
138.48,1580,77.0,1.73,227,0,-338.0,-57.5,2.7,3.0,20.0,0,0.0,650.5,56.7,24.7,219.7,48.3,5.7,0.0,4.0,50,1,1,7,7.0,336,0.0,0.0,0,0,0,0,1,4.616,0.12562257885998893,0.08764556962025316,Other,1-Highest,,NOLKEN504,1
159.52,2256,83.0,3.22,666,1,-2239.0,-76.5,11.0,13.3,82.7,0,0.0,753.2,119.7,97.7,449.7,239.7,24.3,0.0,64.0,54,2,2,12,10.0,318,38.0,66.0,0,0,0,3,1,5.317333333333334,0.22792607802874743,0.07070921985815604,Other,3-Good,No,SANMCA210,1
50.48,711,50.0,0.5,0,0,-53.0,-0.5,0.7000000000000001,0.0,38.3,0,0.0,282.6,73.3,46.7,121.0,164.7,0.7000000000000001,0.0,0.0,56,1,1,3,3.0,430,38.0,0.0,0,0,0,6,0,1.6826666666666665,0.0,0.0709985935302391,Professional,2-High,No,NYCMAN917,0
75.0,343,75.0,0.0,0,0,-60.0,0.0,3.7,10.3,24.0,0,0.0,135.0,9.0,0.7000000000000001,111.3,36.0,14.0,0.0,0.30000000000000004,54,1,1,4,2.0,581,58.0,58.0,0,0,0,6,0,2.5,0.0,0.21865889212827988,Clerical,3-Good,Yes,SANMCA210,0
281.33,3808,183.0,8.41,759,0,5.0,-76.4,27.3,19.3,93.7,1,0.30000000000000004,1208.4,169.0,42.0,1101.3,289.3,46.7,0.0,45.3,50,1,1,6,5.0,77,48.0,48.0,0,0,0,6,0,9.377666666666666,0.1661922487409678,0.07387867647058823,Other,1-Highest,No,SANAUS512,0
97.83,1670,83.0,3.71,0,1,240.0,-8.4,1.3,18.3,95.7,1,0.0,477.4,53.3,58.3,354.7,126.3,19.7,0.0,9.3,52,2,1,9,7.0,116,62.0,58.0,0,0,0,9,1,3.261,0.0,0.05858083832335329,Professional,3-Good,Yes,SANMCA210,0
55.51,516,50.0,0.25,30,0,-45.0,-5.5,2.7,2.7,28.0,0,0.0,79.8,20.3,1.7000000000000002,94.0,44.3,5.3,0.0,1.3,54,1,1,4,3.0,45,48.0,44.0,0,0,0,6,0,1.8503333333333332,0.054945054945054944,0.10757751937984496,Other,1-Highest,,MINMIN612,0
70.19,797,60.0,0.0,43,0,-9.0,-9.4,7.7,4.0,35.3,0,0.0,300.9,22.0,3.3,238.0,70.7,11.7,0.0,0.30000000000000004,49,1,1,3,3.0,10,32.0,36.0,0,0,0,5,1,2.3396666666666666,0.05119047619047619,0.08806775407779172,Clerical,5-Low,Yes,DALDAL214,0
30.86,181,30.0,0.5,0,0,-146.0,-0.9,2.3,3.7,19.3,6,1.3,22.6,41.3,7.3,84.0,37.3,6.0,0.0,0.7000000000000001,49,1,1,3,3.0,574,32.0,28.0,0,0,0,4,0,1.0286666666666666,0.0,0.17049723756906077,Other,6-Verylow,Yes,DALDAL214,1
